Combinations,Count
"('CHAPPATHI', 'MILK')",67
"('SAMBAR RICE', 'TOMATO RICE')",65
"('PODI DOSA', 'VADA')",65
"('SAMOSA', 'VEG BIRIYANI')",64
"('DOSA', 'EGG OMLETTE')",64
"('COFFEE', 'COKE MINI')",64
"('EGG OMLETTE', 'MEALS')",63
"('DOSA', 'HORLICKS')",62
"('APPLE JUICE', 'COFFEE')",62
"('PODI DOSA', 'SAMOSA')",62
"('IDLY', 'ONION DOSAI')",62
"('MASALA DOSAI', 'POORI')",62
"('CHAPPATHI', 'VEG BIRIYANI')",62
"('CHICKEN FRIED RICE', 'CHICKEN NOODLES')",61
"('COKE MINI', 'SAMOSA')",61
"('CHAPPATHI', 'MASALA DOSAI')",61
"('MOSAMBI', 'SAMOSA')",61
"('GHEE DOSA', 'IDLY')",60
"('IDLY', 'PODI DOSA')",60
"('COFFEE', 'DAHI PURI')",59
"('IDLY', 'PANIYARAM')",59
"('TEA', 'WATER BOTTLE - 20')",58
"('BAG', 'CURD RICE')",58
"('CHAPPATHI', 'EXTRA')",58
"('MAAZA MINI', 'TEA')",58
"('MILK', 'SAMOSA')",58
"('DOSA', 'WATER BOTTLE - 20')",57
"('BAAJEE', 'PANIYARAM')",57
"('BHEL PURI', 'PANI PURI')",56
"('CHAPPATHI', 'EGG PODIMAS')",56
"('GHEE DOSA', 'SAMOSA')",56
"('CURD RICE', 'EXTRA')",55
"('GHEE DOSA', 'PODI DOSA')",55
"('DOSA', 'SAMBAR VADA')",55
"('GHEE DOSA', 'MASALA DOSAI')",55
"('CURD VADA', 'PONGAL')",55
"('MOSAMBI', 'TEA')",54
"('TOMATO RICE', 'VEG BIRIYANI')",54
"('CHICKEN FRIED RICE', 'COKE MINI')",53
"('BOOST', 'TEA')",53
"('MEALS', 'SAMOSA')",53
"('POORI', 'SAMBAR VADA')",53
"('DOSA', 'POMEGRANATE JUICE')",53
"('CHAPPATHI', 'GHEE DOSA')",53
"('MAAZA MINI', 'SPRITE MINI')",53
"('COFFEE', 'WATER MELON')",52
"('CHAPPATHI', 'ONION DOSAI')",51
"('GHEE DOSA', 'VADA')",51
"('LEMON RICE', 'VEG BIRIYANI')",51
"('COFFEE', 'MASALA PURI')",51
"('BOOST', 'DOSA')",51
"('CHAPPATHI', 'WATER BOTTLE - 20')",51
"('CURD RICE', 'SAMOSA')",51
"('CHICKEN FRIED RICE', 'VEG FRIED RICE')",50
"('DOSA', 'MAAZA MINI')",50
"('COFFEE', 'PODI ONION DOSAI')",50
"('HORLICKS', 'TEA')",50
"('EXTRA', 'SAMBAR RICE')",49
"('LEMON RICE', 'SAMBAR RICE')",49
"('IDLY', 'WATER BOTTLE')",49
"('POORI', 'POORI - 1')",49
"('DOSA', 'WATER BOTTLE')",49
"('APPLE JUICE', 'POMEGRANATE JUICE')",48
"('CHICKEN FRIED RICE', 'CHILLI CHICKEN')",48
"('DOSA', 'MOSAMBI')",46
"('COFFEE', 'DAHI PAPADI CHAT')",46
"('CURD RICE', 'VEG FRIED RICE')",46
"('CHICKEN 65', 'CHICKEN FRIED RICE')",45
"('COFFEE', 'EXTRA')",45
"('COKE MINI', 'SPRITE MINI')",44
"('DOSA', 'UTHAAPPAM')",44
"('PONGAL', 'SAMOSA')",43
"('CHAPPATHI', 'LEMON RICE')",43
"('IDLY', 'POMEGRANATE JUICE')",43
"('MOSAMBI', 'POMEGRANATE JUICE')",42
"('CHAPPATHI', 'EGG FRIED RICE')",42
"('EGG OMLETTE', 'IDLY')",42
"('MILK', 'VADA')",42
"('BOURNVITA', 'COFFEE')",41
"('CHAPPATHI', 'CHICKEN PODI MASS')",41
"('IDLY', 'WATER BOTTLE - 20')",41
"('VEG FRIED RICE', 'VEG NOODLES')",41
"('CHAPPATHI', 'WATER BOTTLE')",41
"('BAG', 'CHAPPATHI')",41
"('APPLE JUICE', 'TEA')",40
"('HOT WATER', 'POORI')",40
"('PANI PURI', 'PANIYARAM')",40
"('BAG', 'VADA')",40
"('CHICKEN FRIED RICE', 'CHICKEN MANCHURIAN')",39
"('COFFEE', 'MEALS')",39
"('CHICKEN FRIED RICE', 'MEALS')",38
"('COKE MINI', 'DOSA')",38
"('CHAPPATHI', 'PODI DOSA')",38
"('BAAJEE', 'IDLY')",38
"('BOOST', 'GHEE DOSA')",38
"('MEALS', 'POMEGRANATE JUICE')",38
"('SAMOSA', 'WATER BOTTLE - 20')",38
"('COFFEE', 'WATER BOTTLE - 10')",37
"('HORLICKS', 'POORI')",37
"('CHAPPATHI', 'MOSAMBI')",37
"('CURD VADA', 'PODI DOSA')",36
"('CHICKEN FRIED RICE', 'EGG OMLETTE')",36
"('BOOST', 'IDLY')",36
"('IDLY', 'UTHAAPPAM')",36
"('BAAJEE', 'CHAPPATHI')",36
"('APPLE JUICE', 'SAMOSA')",36
"('CHICKEN BIRIYANI', 'MEALS')",36
"('IDLY', 'ONION UTHAPPAM')",36
"('GHEE DOSA', 'POORI')",35
"('VADA', 'WATER BOTTLE - 20')",35
"('PODI DOSA', 'TEA')",35
"('COFFEE', 'VEG FRIED RICE')",35
"('COKE MINI', 'TEA')",34
"('CHAPPATHI', 'UTHAAPPAM')",34
"('PANIYARAM', 'SAMOSA')",34
"('CHICKEN FRIED RICE', 'COFFEE')",34
"('CHAPPATHI', 'TOMATO RICE')",34
"('BAG', 'POORI')",33
"('SAMOSA', 'WATER BOTTLE')",33
"('COFFEE', 'PINE APPIE JUICE')",33
"('ONION DOSAI', 'VADA')",33
"('TEA', 'WATER BOTTLE')",33
"('ONION DOSAI', 'PODI DOSA')",33
"('PODI DOSA', 'POORI')",32
"('PANI PURI', 'SEV PURI')",32
"('CHAPPATHI', 'KALAKKI')",32
"('CHAPPATHI', 'CHICKEN MASALA')",32
"('MASALA DOSAI', 'SAMOSA')",32
"('CHAPPATHI', 'VEG NOODLES')",32
"('MASALA DOSAI', 'PODI DOSA')",32
"('HORLICKS', 'VADA')",31
"('CHAPPATHI', 'ONION UTHAPPAM')",31
"('DOSA', 'ONION UTHAPPAM')",31
"('EXTRA', 'TEA')",31
"('DAHI PURI', 'TEA')",31
"('CHICKEN FRIED RICE', 'MAAZA MINI')",31
"('SAMOSA', 'TOMATO RICE')",31
"('COFFEE', 'MASALA BONDA')",31
"('BOURNVITA', 'DOSA')",30
"('CHAPPATHI', 'CHILLI CHICKEN')",30
"('CHAPPATHI', 'MAAZA MINI')",30
"('MASALA DOSAI', 'ONION DOSAI')",30
"('SAMBAR VADA', 'TEA')",30
"('BOOST', 'HORLICKS')",29
"('IDLY', 'MOSAMBI')",29
"('APPLE JUICE', 'CHAPPATHI')",29
"('CURD VADA', 'SAMBAR VADA')",29
"('DAHI PAPADI CHAT', 'PANI PURI')",29
"('MILK', 'PANIYARAM')",28
"('BOOST', 'SAMOSA')",28
"('CHAPATHI -1', 'DOSA')",28
"('COKE MINI', 'WATER BOTTLE - 20')",28
"('BISCUIT - 5', 'COFFEE')",28
"('CHICKEN FRIED RICE', 'CHICKEN PODI MASS')",28
"('HORLICKS', 'IDLY')",28
"('APPLE JUICE', 'DOSA')",28
"('BISCUIT - 10', 'SAMOSA')",28
"('CHICKEN FRIED RICE', 'EGG FRIED RICE')",28
"('DAHI PURI', 'PANIYARAM')",28
"('DAHI PURI', 'MASALA PURI')",28
"('CHAPPATHI', 'CHICKEN MANCHURIAN')",28
"('COKE MINI', 'PANI PURI')",28
"('BISCUIT - 10', 'MILK')",28
"('IDLY', 'MAAZA MINI')",27
"('SAMOSA', 'WATER MELON')",27
"('BUTTER SCOTCH', 'VENNILA CONE')",27
"('CHICKEN FRIED RICE', 'DOSA')",27
"('PINE APPIE JUICE', 'POMEGRANATE JUICE')",27
"('MOSAMBI', 'WATER MELON')",27
"('GHEE DOSA', 'ONION DOSAI')",27
"('MEALS', 'WATER BOTTLE - 20')",27
"('CHAPPATHI', 'PINE APPIE JUICE')",26
"('EGG OMLETTE', 'VEG BIRIYANI')",26
"('COFFEE', 'EGG OMLETTE')",26
"('BOOST', 'CHAPPATHI')",25
"('MEALS', 'TEA')",25
"('CHICKEN BIRIYANI', 'CHICKEN FRIED RICE')",25
"('POMEGRANATE JUICE', 'VADA')",25
"('POORI', 'WATER BOTTLE - 20')",25
"('BHEL PURI', 'COFFEE')",25
"('CHAPPATHI', 'GOBI MANCHURIAN')",25
"('CHAPPATHI', 'COKE MINI')",24
"('BOOST', 'MASALA DOSAI')",24
"('CHAPATHI -1', 'IDLY')",24
"('DOSA', 'VEG FRIED RICE')",24
"('PANI PURI', 'TEA')",24
"('BONDA', 'IDLY')",24
"('CHENNA - 10', 'COFFEE')",24
"('BUTTER SCOTCH', 'BUTTER SCOTCH MINI')",24
"('EGG BOILED', 'VEG BIRIYANI')",24
"('HORLICKS', 'SAMOSA')",23
"('MASALA DOSAI', 'PONGAL')",23
"('HOT WATER', 'SAMOSA')",23
"('BUTTER SCOTCH MINI', 'MAAZA MINI')",23
"('BUTTER MILK', 'CHAPPATHI')",23
"('MOSAMBI', 'WATER BOTTLE')",23
"('MASALA PURI', 'PANIYARAM')",23
"('MAAZA MINI', 'PANI PURI')",23
"('GHEE DOSA', 'MAAZA MINI')",23
"('CHAPPATHI', 'CHICKEN BIRIYANI')",23
"('EXTRA', 'VEG BIRIYANI')",23
"('TEA', 'WATER MELON')",23
"('MASALA BONDA', 'TEA')",23
"('BHEL PURI', 'DAHI PURI')",23
"('ONION DOSAI', 'SAMOSA')",23
"('EXTRA', 'TOMATO RICE')",23
"('CURD VADA', 'MASALA DOSAI')",23
"('POORI', 'WATER BOTTLE')",23
"('BAAJEE', 'MILK')",23
"('HOT WATER', 'PONGAL')",23
"('MAAZA MINI', 'WATER BOTTLE')",22
"('EXTRA', 'LEMON RICE')",22
"('CHICKEN 65', 'CHICKEN BIRIYANI')",22
"('EXTRA', 'VADA')",22
"('BAAJEE', 'DOSA')",22
"('SAMBAR RICE', 'VEG FRIED RICE')",22
"('POMEGRANATE JUICE', 'WATER MELON')",22
"('BUTTER SCOTCH MINI', 'VENNILA CUP')",22
"('LEMON RICE', 'SAMOSA')",22
"('COKE MINI', 'MASALA DOSAI')",22
"('BONDA', 'PANIYARAM')",21
"('BHEL PURI', 'MASALA PURI')",21
"('BOOST', 'VADA')",21
"('MASALA DOSAI', 'WATER BOTTLE')",21
"('POMEGRANATE JUICE', 'SAMBAR RICE')",21
"('CHENNA - 10', 'TEA')",21
"('SAMBAR VADA', 'SAMOSA')",21
"('COFFEE', 'CURD RICE')",21
"('GHEE DOSA', 'PANIYARAM')",21
"('CHICKEN FRIED RICE', 'EGG PODIMAS')",21
"('CHICKEN FRIED RICE', 'IDLY')",21
"('BOOST', 'PANIYARAM')",21
"('CHICKEN FRIED RICE', 'KALAKKI')",21
"('TEA', 'WATER BOTTLE - 10')",21
"('UTHAAPPAM', 'VADA')",21
"('CHAPPATHI', 'HORLICKS')",21
"('CURD VADA', 'GHEE DOSA')",21
"('DOSA', 'PARATHA')",20
"('BOURNVITA', 'TEA')",20
"('SAMOSA', 'VEG FRIED RICE')",20
"('MAAZA MINI', 'WATER BOTTLE - 20')",20
"('CHAPPATHI', 'WATER MELON')",20
"('VADA', 'WATER BOTTLE')",20
"('MEALS', 'WATER BOTTLE')",20
"('COFFEE', 'LEMON JUICE')",20
"('CURD VADA', 'POMEGRANATE JUICE')",20
"('BISCUIT - 10', 'MAAZA MINI')",20
"('MASALA DOSAI', 'PANIYARAM')",20
"('IDIYAPPAM', 'IDLY')",20
"('BAG', 'PONGAL')",20
"('CHICKEN 65', 'CHICKEN NOODLES')",20
"('COKE MINI', 'THAMSUP')",20
"('DOSA', 'WATER MELON')",20
"('VEG BIRIYANI', 'VEG FRIED RICE')",19
"('GHEE DOSA', 'WATER BOTTLE - 20')",19
"('CHILLI CHICKEN', 'COKE MINI')",19
"('EXTRA', 'SAMOSA')",19
"('IDLY', 'PARATHA')",19
"('EGG OMLETTE', 'SAMBAR RICE')",19
"('BUTTER SCOTCH', 'MAAZA MINI')",19
"('PINE APPIE JUICE', 'TEA')",19
"('COKE MINI', 'WATER BOTTLE')",19
"('BAG', 'VEG BIRIYANI')",19
"('BONDA', 'SAMOSA')",19
"('MOSAMBI', 'POORI')",18
"('MAAZA MINI', 'PANIYARAM')",18
"('IDLY', 'VEG FRIED RICE')",18
"('MASALA DOSAI', 'WATER BOTTLE - 20')",18
"('APPLE JUICE', 'WATER MELON')",18
"('MAAZA MINI', 'VENNILA CUP')",18
"('COFFEE', 'SEV PURI')",18
"('ONION DOSAI', 'TEA')",18
"('MAAZA MINI', 'PODI DOSA')",18
"('SAMOSA', 'SPRITE MINI')",18
"('CURD VADA', 'ONION DOSAI')",18
"('APPLE JUICE', 'IDLY')",18
"('MASALA PURI', 'TEA')",17
"('COFFEE', 'SAMBAR RICE')",17
"('CURD RICE', 'POMEGRANATE JUICE')",17
"('CHAPPATHI', 'SAMBAR VADA')",17
"('CURD RICE', 'MOSAMBI')",17
"('HORLICKS', 'PANIYARAM')",17
"('APPLE JUICE', 'MOSAMBI')",17
"('EGG PODIMAS', 'MEALS')",17
"('COKE MINI', 'WATER BOTTLE - 10')",17
"('COKE MINI', 'IDLY')",17
"('TEA', 'VEG FRIED RICE')",17
"('EGG FRIED RICE', 'MEALS')",17
"('CHICKEN FRIED RICE', 'GHEE DOSA')",17
"('MAAZA MINI', 'VADA')",17
"('BOOST', 'PODI DOSA')",17
"('MAAZA MINI', 'WATER BOTTLE - 10')",17
"('APPLE JUICE', 'MEALS')",16
"('DOSA', 'EGG FRIED RICE')",16
"('BOOST', 'POORI')",16
"('SAMBAR RICE', 'WATER BOTTLE')",16
"('POMEGRANATE JUICE', 'WATER BOTTLE - 20')",16
"('EGG OMLETTE', 'MASALA DOSAI')",16
"('DAHI PURI', 'SEV PURI')",16
"('CHAPPATHI', 'CHILLI PARTHA')",16
"('MAAZA MINI', 'MASALA DOSAI')",16
"('DOSA', 'PINE APPIE JUICE')",16
"('CHICKEN FRIED RICE', 'CURD RICE')",16
"('MEALS', 'MOSAMBI')",16
"('EGG FRIED RICE', 'VEG FRIED RICE')",16
"('BUTTER SCOTCH', 'COKE MINI')",16
"('CHAPPATHI', 'WHITE CHICKEN MASALA')",16
"('CURD RICE', 'TEA')",16
"('GHEE DOSA', 'HORLICKS')",16
"('PINE APPIE JUICE', 'WATER MELON')",16
"('EGG OMLETTE', 'VEG FRIED RICE')",16
"('MAAZA MINI', 'MEALS')",16
"('EGG OMLETTE', 'GHEE DOSA')",16
"('DOSA', 'WATER BOTTLE - 10')",16
"('POMEGRANATE JUICE', 'POORI')",16
"('CHICKEN NOODLES', 'DOSA')",16
"('IDLY', 'VEG NOODLES')",16
"('SAMBAR RICE', 'TEA')",16
"('PONGAL', 'SAMBAR VADA')",16
"('MEALS', 'VEG NOODLES')",16
"('MAAZA MINI', 'POORI')",15
"('HORLICKS', 'MASALA DOSAI')",15
"('COKE MINI', 'GHEE DOSA')",15
"('CHAPPATHI', 'RAVA DOSA')",15
"('COKE MINI', 'EGG FRIED RICE')",15
"('CHICKEN FRIED RICE', 'POMEGRANATE JUICE')",15
"('PODI DOSA', 'SAMBAR VADA')",15
"('KALAKKI', 'MEALS')",15
"('COKE MINI', 'PANIYARAM')",15
"('COFFEE', 'VEG BIRIYANI')",15
"('CHICKEN CHILLI PARATHA', 'CHICKEN FRIED RICE')",15
"('DOSA', 'PANI PURI')",15
"('BISCUIT - 5', 'TEA')",15
"('HORLICKS', 'PANI PURI')",15
"('CURD VADA', 'MAAZA MINI')",15
"('COFFEE', 'UTHAAPPAM')",15
"('BONDA', 'CHAPPATHI')",15
"('CHILLI PARTHA', 'DOSA')",15
"('EGG OMLETTE', 'WHITE CHICKEN MASALA')",15
"('POMEGRANATE JUICE', 'VEG FRIED RICE')",15
"('MILK', 'POORI')",15
"('PANIYARAM', 'VADA')",15
"('GHEE DOSA', 'PANI PURI')",15
"('CHICKEN NOODLES', 'MAAZA MINI')",14
"('EXTRA', 'GHEE DOSA')",14
"('PODI ONION DOSAI', 'SAMOSA')",14
"('POORI - 1', 'VADA')",14
"('GHEE DOSA', 'WATER BOTTLE')",14
"('COFFEE', 'GHEE PODI DOSA')",14
"('DOSA', 'RAVA DOSA')",14
"('IDLY', 'WATER BOTTLE - 10')",14
"('EXTRA', 'IDLY')",14
"('CURD VADA', 'WATER BOTTLE - 20')",14
"('WATER BOTTLE', 'WATER MELON')",14
"('BHEL PURI', 'PANIYARAM')",14
"('GOBI MANCHURIAN', 'VEG FRIED RICE')",14
"('ONION UTHAPPAM', 'VADA')",14
"('COFFEE', 'ONION UTHAPPAM')",14
"('MOSAMBI', 'SAMBAR RICE')",14
"('MAAZA MINI', 'POMEGRANATE JUICE')",14
"('EGG FRIED RICE', 'IDLY')",14
"('CHAPPATHI', 'CHICKEN 65')",14
"('BHEL PURI', 'TEA')",14
"('PANIYARAM', 'PODI DOSA')",14
"('GHEE DOSA', 'WATER MELON')",14
"('EGG OMLETTE', 'PANIYARAM')",14
"('CHICKEN NOODLES', 'COKE MINI')",14
"('BOOST', 'BOURNVITA')",14
"('PANIYARAM', 'POMEGRANATE JUICE')",14
"('GHEE DOSA', 'MOSAMBI')",14
"('SAMBAR VADA', 'VADA')",14
"('BISCUIT - 10', 'CHAPPATHI')",14
"('CHICKEN BIRIYANI', 'CURD RICE')",14
"('PODI DOSA', 'PONGAL')",14
"('CHICKEN FRIED RICE', 'VEG NOODLES')",13
"('APPLE JUICE', 'VADA')",13
"('MASALA DOSAI', 'SAMBAR VADA')",13
"('HOT WATER', 'MEALS')",13
"('CHICKEN FRIED RICE', 'PANIYARAM')",13
"('PINE APPIE JUICE', 'SAMOSA')",13
"('CHICKEN 65', 'COKE MINI')",13
"('APPLE JUICE', 'CURD RICE')",13
"('EGG OMLETTE', 'EGG PODIMAS')",13
"('BUTTER SCOTCH', 'VENNILA CUP')",13
"('COFFEE', 'VEG NOODLES')",13
"('POORI', 'UTHAAPPAM')",13
"('ONION DOSAI', 'POORI')",13
"('BISCUIT - 10', 'DOSA')",13
"('CURD RICE', 'WATER BOTTLE')",13
"('CURD RICE', 'EGG OMLETTE')",13
"('DAHI PAPADI CHAT', 'PANIYARAM')",13
"('PANI PURI', 'SAMOSA')",13
"('EGG OMLETTE', 'TEA')",13
"('IDLY', 'RAVA DOSA')",13
"('BOURNVITA', 'IDLY')",13
"('COFFEE', 'TOMATO RICE')",13
"('BUTTER MILK', 'MEALS')",13
"('BUTTER SCOTCH MINI', 'VENNILA CONE')",13
"('BUTTER SCOTCH MINI', 'COKE MINI')",13
"('POMEGRANATE JUICE', 'VEG BIRIYANI')",13
"('BAAJEE', 'MAAZA MINI')",13
"('GHEE DOSA', 'PONGAL')",13
"('MILK', 'POMEGRANATE JUICE')",13
"('MILK', 'PONGAL')",12
"('PANIYARAM', 'VEG FRIED RICE')",12
"('DOSA', 'SPRITE MINI')",12
"('MAAZA MINI', 'THAMSUP')",12
"('EGG OMLETTE', 'KALAKKI')",12
"('IDIYAPPAM', 'POORI')",12
"('HORLICKS', 'PODI DOSA')",12
"('DAHI PAPADI CHAT', 'DAHI PURI')",12
"('CHAPPATHI', 'CHICKEN NOODLES')",12
"('ALOO PARATHA', 'COFFEE')",12
"('MEALS', 'MINI MEALS')",12
"('CHICKEN NOODLES', 'CHILLI CHICKEN')",12
"('VADA', 'WATER MELON')",12
"('DOSA', 'EGG PODIMAS')",12
"('CHAPPATHI', 'PARATHA')",12
"('COFFEE', 'EGG FRIED RICE')",12
"('BUTTER SCOTCH', 'COFFEE')",12
"('CHICKEN FRIED RICE', 'GOBI FRIED RICE')",12
"('BISCUIT - 10', 'BISCUIT - 5')",12
"('DAHI PAPADI CHAT', 'SEV PURI')",12
"('COKE MINI', 'POMEGRANATE JUICE')",12
"('CHILLI PARTHA', 'GHEE DOSA')",12
"('CHAPPATHI', 'PANEER FRIED RICE')",12
"('CHICKEN FRIED RICE', 'DAHI PURI')",12
"('PANIYARAM', 'WATER BOTTLE')",12
"('CHAPPATHI', 'GOBI FRIED RICE')",12
"('DOSA', 'PODI ONION DOSAI')",12
"('CHAPPATHI', 'PEPPER CHICKEN')",12
"('BUTTER MILK', 'CHICKEN FRIED RICE')",12
"('BHEL PURI', 'SEV PURI')",12
"('EGG OMLETTE', 'PODI DOSA')",12
"('COKE MEDIUM', 'MAAZA MINI')",12
"('PODI DOSA', 'PODI ONION DOSAI')",12
"('CURD RICE', 'EGG BOILED')",12
"('COKE MINI', 'MEALS')",12
"('CHICKEN NOODLES', 'EGG OMLETTE')",11
"('APPLE JUICE', 'SAMBAR RICE')",11
"('CHICKEN 65', 'SEZWAN CHICKEN FRIED RICE')",11
"('EXTRA', 'MEALS')",11
"('PODI DOSA', 'POMEGRANATE JUICE')",11
"('MOSAMBI', 'PANIYARAM')",11
"('MEALS', 'WATER MELON')",11
"('CHICKEN BIRIYANI', 'EGG OMLETTE')",11
"('BHEL PURI', 'COKE MINI')",11
"('COKE', 'MAAZA MINI')",11
"('BAAJEE', 'POMEGRANATE JUICE')",11
"('PANIYARAM', 'SEV PURI')",11
"('CHICKEN PODI MASS', 'COFFEE')",11
"('COFFEE', 'GHEE ONION PODI DOSA')",11
"('CHAPATHI -1', 'VADA')",11
"('SPRITE MINI', 'THAMSUP')",11
"('CHICKEN FRIED RICE', 'SEZWAN CHICKEN FRIED RICE')",11
"('CURD VADA', 'VEG BIRIYANI')",11
"('CHICKEN 65', 'MEALS')",11
"('CHICKEN BIRIYANI', 'SAMBAR RICE')",11
"('CHICKEN FRIED RICE', 'WHITE CHICKEN MASALA')",11
"('COKE', 'EXTRA')",11
"('HOT WATER', 'WATER BOTTLE - 20')",11
"('DOSA', 'EXTRA')",11
"('EGG OMLETTE', 'TOMATO RICE')",11
"('VEG FRIED RICE', 'WATER BOTTLE')",11
"('DAHI PURI', 'WATER BOTTLE - 20')",11
"('COKE MINI', 'SEZWAN CHICKEN FRIED RICE')",11
"('BUTTER SCOTCH', 'OREO')",11
"('SAMOSA', 'WATER BOTTLE - 10')",11
"('CHILLI CHICKEN', 'MAAZA MINI')",11
"('COKE MINI', 'DAHI PURI')",11
"('COFFEE', 'SPRITE MINI')",11
"('IDLY', 'PODI ONION DOSAI')",11
"('CHAPPATHI', 'WATER BOTTLE - 10')",11
"('GHEE DOSA', 'SAMBAR VADA')",11
"('BAAJEE', 'BOOST')",11
"('CURD RICE', 'KALAKKI')",11
"('TEA', 'UTHAAPPAM')",11
"('ORANGE JUICE', 'TEA')",11
"('CHICKEN BIRIYANI', 'COKE MINI')",11
"('CURD VADA', 'MOSAMBI')",11
"('APPLE JUICE', 'CURD VADA')",10
"('APPLE JUICE', 'PINE APPIE JUICE')",10
"('BAAJEE', 'MASALA PURI')",10
"('SAMOSA', 'VENNILA CUP')",10
"('CHICKEN BIRIYANI', 'WHITE CHICKEN MASALA')",10
"('PONGAL', 'WATER BOTTLE')",10
"('CHICKEN FRIED RICE', 'PANI PURI')",10
"('COFFEE', 'LEMON RICE')",10
